Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	383.0127686	383.4783816	137.036	472.014	344.531	0.4656	0.2961	430.664	0.775	172.266	bm
2	Spectrogram 1	1	383.2705598	383.3850774	506.03	818.262	689.062	0.1145	0.0522	775.195	0.6316	172.266	bk
3	Spectrogram 1	1	383.7071582	383.8825132	118.433	430.664	258.398	0.1754	0.0755	344.531	0.6897	86.133	bm
4	Spectrogram 1	1	383.8073611	383.929036	419.897	872.095	689.062	0.1217	0.0522	775.195	0.7	172.266	bk
5	Spectrogram 1	1	384.8022328	385.0849481	75.366	419.897	258.398	0.2827	0.1277	344.531	0.5957	172.266	bm
6	Spectrogram 1	1	384.9239077	385.0563187	398.364	807.495	689.062	0.1324	0.0522	775.195	0.6667	172.266	bk
7	Spectrogram 1	1	385.7318927	386.2436433	75.366	495.264	344.531	0.5118	0.3367	430.664	0.7471	172.266	bm
8	Spectrogram 1	1	385.9645066	386.4905719	563.372	1111.518	861.328	0.5261	0.4412	947.461	0.9333	258.398	us
9	Spectrogram 1	1	386.1867358	386.267712	411.109	852.671	775.195	0.081	0.0755	775.195	1	172.266	bk
10	Spectrogram 1	1	386.5435371	386.6308395	472.014	944.029	775.195	0.0873	0.0464	861.328	0.7857	172.266	bk
11	Spectrogram 1	1	386.608065	386.718142	76.131	456.788	258.398	0.1101	0.0755	344.531	0.8333	86.133	bm
12	Spectrogram 1	1	386.6941022	386.7864656	532.92	928.803	775.195	0.0924	0.0522	861.328	0.7333	258.398	bk
13	Spectrogram 1	1	386.8611155	386.948418	441.562	944.029	775.195	0.0873	0.0522	861.328	0.8571	258.398	bk
14	Spectrogram 1	1	387.0496382	387.1420016	426.336	974.482	775.195	0.0924	0.058	861.328	0.8	258.398	bk
15	Spectrogram 1	1	387.2419566	387.3406463	365.431	928.803	689.062	0.0987	0.0697	861.328	0.875	258.398	bk
16	Spectrogram 1	1	387.4460782	387.5319664	395.883	898.35	689.062	0.0859	0.0639	775.195	0.9286	172.266	bk
17	Spectrogram 1	1	387.6607987	387.7663696	213.168	898.35	689.062	0.1056	0.0639	775.195	0.7647	258.398	bk
