Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	389.833674876	390.383971087	162.132	509.559	344.531	0.5503	0.2612	430.664	0.6277	172.266	bm
2	Spectrogram 1	1	391.360148713	391.482170917	92.647	532.721	258.398	0.1220	0.0813	430.664	0.8500	258.398	bm
3	Spectrogram 1	1	391.470207956	391.585052382	416.912	949.632	602.930	0.1148	0.0697	775.195	0.8421	344.531	bk
4	Spectrogram 1	1	392.453563359	392.556444825	115.809	532.721	258.398	0.1029	0.0755	430.664	0.8750	258.398	bm
5	Spectrogram 1	1	392.542089271	392.647363329	277.941	949.632	602.930	0.1053	0.0697	775.195	0.8824	344.531	bk
6	Spectrogram 1	1	392.893800328	393.125881774	115.809	602.206	344.531	0.2321	0.0987	430.664	0.5641	172.266	bm
7	Spectrogram 1	1	393.070852152	393.932185352	370.588	1065.441	861.328	0.8613	0.7430	947.461	0.9456	344.531	us
8	Spectrogram 1	1	393.212015094	393.329252112	254.779	926.471	861.328	0.1172	0.1103	861.328	1.0000	516.797	bk
9	Spectrogram 1	1	393.762311305	393.853229809	416.912	1088.603	861.328	0.0909	0.0755	947.461	0.9333	344.531	bk
10	Spectrogram 1	1	393.939363129	394.025496449	509.559	1111.765	775.195	0.0861	0.0639	947.461	0.8571	344.531	bk
11	Spectrogram 1	1	394.070955701	394.157089021	370.588	1019.118	689.062	0.0861	0.0580	861.328	0.9286	344.531	bk
12	Spectrogram 1	1	394.202548274	394.317392700	370.588	995.956	775.195	0.1148	0.0755	861.328	0.8421	344.531	bk
13	Spectrogram 1	1	394.367637137	394.468126010	440.074	1042.279	689.062	0.1005	0.0755	861.328	0.8824	344.531	bk
14	Spectrogram 1	1	394.530333408	394.652355611	324.265	1111.765	689.062	0.1220	0.0929	861.328	0.9500	344.531	bk
15	Spectrogram 1	1	394.707385232	394.831800028	347.426	1042.279	775.195	0.1244	0.0871	861.328	0.8500	344.531	bk
16	Spectrogram 1	1	394.903577795	395.025599998	370.588	995.956	775.195	0.1220	0.0871	861.328	0.9000	344.531	bk
24	Spectrogram 1	1	394.912311784	394.993519057	115.809	347.426	258.398	0.0812	0.0580	344.531	1.0000	172.266	bm
17	Spectrogram 1	1	394.987318523	395.083022211	440.074	1019.118	602.930	0.0957	0.0813	861.328	0.8750	344.531	bk
18	Spectrogram 1	1	395.106948134	395.214614784	301.103	1065.441	689.062	0.1077	0.0697	861.328	0.8824	344.531	bk
19	Spectrogram 1	1	395.312711065	395.429948084	393.750	1019.118	689.062	0.1172	0.0871	861.328	0.9474	344.531	bk
23	Spectrogram 1	1	395.480762694	395.558586331	138.971	486.397	258.398	0.0778	0.0522	430.664	0.8462	258.398	bm
20	Spectrogram 1	1	395.534900876	395.646560876	347.426	972.794	689.062	0.1117	0.0813	861.328	0.8889	344.531	bk
21	Spectrogram 1	1	395.751453604	395.893566331	370.588	1019.118	689.062	0.1421	0.0987	861.328	0.8696	344.531	bk
22	Spectrogram 1	1	396.008609968	396.093200877	162.132	509.559	344.531	0.0846	0.0522	430.664	0.7857	258.398	bm
25	Spectrogram 1	1	396.062748150	396.184559059	440.074	1042.279	689.062	0.1218	0.0987	861.328	0.9000	344.531	bk
27	Spectrogram 1	1	396.593979060	396.715789969	440.074	972.794	689.062	0.1218	0.0813	775.195	0.9000	258.398	bk
26	Spectrogram 1	1	396.671802696	396.891739060	138.971	579.044	344.531	0.2199	0.1393	430.664	0.8919	172.266	bm
