Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	329.083420105	329.459008849	84.007	453.638	344.531	0.3756	0.2090	344.531	0.7656	86.133	bm
2	Spectrogram 1	1	330.219969915	331.004283214	50.404	470.439	344.531	0.7843	0.4992	430.664	0.8209	172.266	bm
3	Spectrogram 1	1	332.145529511	332.460194128	84.007	470.439	258.398	0.3147	0.2032	344.531	0.7736	172.266	bm
4	Spectrogram 1	1	333.316780285	333.595737370	151.213	453.638	344.531	0.2790	0.1451	430.664	0.6596	172.266	bm
6	Spectrogram 1	1	333.585774617	334.190181634	571.248	1159.297	861.328	0.6044	0.4354	947.461	0.8641	172.266	us
5	Spectrogram 1	1	333.592416452	333.937791891	100.808	436.837	258.398	0.3454	0.2322	344.531	0.7288	172.266	bm
7	Spectrogram 1	1	333.987605656	334.279846412	134.411	453.638	344.531	0.2922	0.2322	430.664	0.9184	172.266	bm
8	Spectrogram 1	1	334.166935211	334.296451000	537.645	1008.084	775.195	0.1295	0.0813	861.328	0.9524	172.266	bk
9	Spectrogram 1	1	334.309734671	334.452534131	420.035	1024.886	775.195	0.1428	0.0929	861.328	0.7391	172.266	bk
10	Spectrogram 1	1	334.499026978	334.611938179	436.837	1024.886	775.195	0.1129	0.0522	861.328	0.6842	258.398	bk
11	Spectrogram 1	1	334.522273402	334.781304981	100.808	420.035	258.398	0.2590	0.1974	344.531	0.8636	172.266	bm
12	Spectrogram 1	1	334.668393780	334.791267734	403.234	974.482	775.195	0.1229	0.0522	861.328	0.7143	258.398	bk
13	Spectrogram 1	1	334.847723335	334.977239124	403.234	1008.084	775.195	0.1295	0.0522	861.328	0.7273	258.398	bk
14	Spectrogram 1	1	335.050299313	335.173173267	336.028	957.680	775.195	0.1229	0.0522	861.328	0.7500	258.398	bk
15	Spectrogram 1	1	335.196419691	335.379070163	285.624	924.077	775.195	0.1827	0.1045	861.328	0.7742	258.398	bk
17	Spectrogram 1	1	335.445488517	335.777580284	84.007	386.432	258.398	0.3321	0.2496	344.531	0.8393	258.398	bm
16	Spectrogram 1	1	335.465414023	335.578325224	436.837	957.680	775.195	0.1129	0.0522	861.328	0.7778	258.398	bk
18	Spectrogram 1	1	335.694557342	335.820752214	386.432	974.482	775.195	0.1262	0.0639	861.328	0.7619	258.398	bk
19	Spectrogram 1	1	336.151632769	336.433421978	487.241	991.283	775.195	0.2818	0.1335	861.328	0.7872	172.266	bk
20	Spectrogram 1	1	336.447511439	336.846712818	117.610	420.035	258.398	0.3992	0.2670	344.531	0.8088	172.266	bm
21	Spectrogram 1	1	337.231824737	337.504220973	571.248	1024.886	775.195	0.2724	0.1393	861.328	0.7609	172.266	bk
22	Spectrogram 1	1	337.532399894	337.940994247	168.014	403.234	258.398	0.4086	0.2728	344.531	0.7971	172.266	bm
23	Spectrogram 1	1	338.189908049	338.936649453	134.411	436.837	258.398	0.7467	0.5166	344.531	0.8359	86.133	bm
24	Spectrogram 1	1	338.213390483	338.485786718	554.446	907.276	775.195	0.2724	0.1161	861.328	0.6957	172.266	bk
