Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	440.203532423	440.621871150	135.553	474.436	258.398	0.4183	0.2728	344.531	0.7083	172.266	bm
2	Spectrogram 1	1	442.983826307	443.727676863	67.777	519.621	258.398	0.7439	0.4005	344.531	0.6875	258.398	bm
3	Spectrogram 1	1	445.776314462	446.093365519	135.553	519.621	344.531	0.3171	0.1451	430.664	0.6296	172.266	bm
4	Spectrogram 1	1	446.075074112	446.882944593	451.844	1174.795	947.461	0.8079	0.6444	1033.594	0.9275	344.531	us
5	Spectrogram 1	1	446.730516201	446.852458915	316.291	858.504	689.062	0.1219	0.0639	775.195	0.9000	258.398	bk
6	Spectrogram 1	1	446.910381704	447.026227282	474.436	1016.650	775.195	0.1158	0.0813	861.328	0.9474	258.398	bk
7	Spectrogram 1	1	447.078052936	447.196947082	361.475	1107.018	775.195	0.1189	0.0755	861.328	0.8947	258.398	bk
8	Spectrogram 1	1	447.242675600	447.355472611	338.883	1084.426	689.062	0.1128	0.0639	861.328	0.8889	258.398	bk
9	Spectrogram 1	1	447.315841229	447.437783943	474.436	1016.650	689.062	0.1219	0.0987	861.328	0.8500	344.531	bk
10	Spectrogram 1	1	447.404249697	447.529240979	497.029	1016.650	689.062	0.1250	0.0697	861.328	0.9500	258.398	bk
13	Spectrogram 1	1	447.428638239	447.578018064	112.961	474.436	344.531	0.1494	0.1045	344.531	0.8400	86.133	bm
11	Spectrogram 1	1	447.486561029	447.645086557	361.475	948.873	689.062	0.1585	0.1509	861.328	1.0000	344.531	bk
12	Spectrogram 1	1	447.611552311	447.712155050	429.252	1061.834	689.062	0.1006	0.0755	861.328	1.0000	258.398	bk
14	Spectrogram 1	1	447.794466382	447.895069121	384.068	1016.650	689.062	0.1006	0.0697	775.195	1.0000	258.398	bk
15	Spectrogram 1	1	448.007866132	448.105420303	384.068	994.057	689.062	0.0976	0.0639	775.195	0.9375	258.398	bk
16	Spectrogram 1	1	448.224314450	448.324917189	429.252	1039.242	689.062	0.1006	0.0580	775.195	0.9375	172.266	bk
18	Spectrogram 1	1	448.257848696	448.437714199	158.145	497.029	344.531	0.1799	0.1161	430.664	0.8333	172.266	bm
17	Spectrogram 1	1	448.358451435	448.456005607	429.252	1061.834	689.062	0.0976	0.0580	775.195	0.6875	172.266	bk
19	Spectrogram 1	1	448.439994455	448.543466279	406.660	948.873	689.062	0.1035	0.0639	861.328	0.8824	344.531	bk
20	Spectrogram 1	1	448.530532301	448.625381473	474.436	994.057	775.195	0.0948	0.0580	861.328	0.7333	258.398	bk
21	Spectrogram 1	1	448.690051363	448.793523187	316.291	971.465	689.062	0.1035	0.0639	775.195	0.9412	258.398	bk
22	Spectrogram 1	1	449.138429268	449.302259656	112.961	451.844	258.398	0.1638	0.1277	344.531	0.9259	86.133	bm
23	Spectrogram 1	1	449.237589766	449.341061590	406.660	926.281	689.062	0.1035	0.0464	775.195	0.7059	172.266	bk
24	Spectrogram 1	1	449.910156623	450.591346132	158.145	451.844	344.531	0.6812	0.3425	344.531	0.8621	86.133	bm
25	Spectrogram 1	1	450.255062703	450.375779832	451.844	948.873	689.062	0.1207	0.0580	775.195	0.7500	172.266	bk
26	Spectrogram 1	1	450.832780388	451.268224315	67.777	497.029	258.398	0.4354	0.3541	344.531	0.8667	258.398	bm
