Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	467.078426106	467.608916987	100.227	476.080	344.531	0.5305	0.3193	430.664	0.7556	172.266	bm
2	Spectrogram 1	1	470.446345186	470.746491342	150.341	501.136	344.531	0.3001	0.1683	430.664	0.6863	172.266	bm
3	Spectrogram 1	1	470.666219695	471.399134728	476.080	1077.443	861.328	0.7329	0.5515	947.461	0.9440	172.266	us
4	Spectrogram 1	1	471.371214156	471.461956017	551.250	1027.330	775.195	0.0907	0.0522	861.328	0.9286	172.266	bk
5	Spectrogram 1	1	471.496856733	471.615519166	476.080	1002.273	775.195	0.1187	0.0580	861.328	0.8000	258.398	bk
6	Spectrogram 1	1	471.657400026	471.762102173	425.966	1002.273	775.195	0.1047	0.0580	861.328	0.8824	344.531	bk
7	Spectrogram 1	1	471.835393676	471.940095824	425.966	1077.443	775.195	0.1047	0.0580	861.328	0.8235	344.531	bk
8	Spectrogram 1	1	472.020367470	472.135539833	400.909	1002.273	775.195	0.1152	0.0580	861.328	0.7895	344.531	bk
9	Spectrogram 1	1	472.236751909	472.355414342	375.852	1027.330	775.195	0.1187	0.0580	861.328	0.7368	344.531	bk
10	Spectrogram 1	1	472.460116490	472.575288852	425.966	1002.273	775.195	0.1152	0.0522	861.328	0.7895	344.531	bk
11	Spectrogram 1	1	473.032488230	473.283773384	100.227	551.250	344.531	0.2513	0.1567	430.664	0.8095	172.266	bm
12	Spectrogram 1	1	473.172091093	473.294243599	425.966	927.102	689.062	0.1222	0.0813	775.195	0.8500	344.531	bk
13	Spectrogram 1	1	473.535058538	473.709562117	125.284	551.250	344.531	0.1745	0.0697	430.664	0.6552	172.266	bm
