Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	3184.782866690	3185.059942739	108.108	540.541	281.250	0.2771	0.2133	375.000	0.9216	187.500	bm
2	Spectrogram 1	1	3185.648175401	3185.773160350	133.777	458.664	281.250	0.1250	0.0853	375.000	0.8636	187.500	bm
3	Spectrogram 1	1	3187.033143761	3188.171520193	152.888	496.886	281.250	1.1384	0.9173	375.000	0.8826	187.500	bm
4	Spectrogram 1	1	3188.820090742	3188.945075692	133.777	458.664	281.250	0.1250	0.0747	375.000	0.8261	187.500	bm
5	Spectrogram 1	1	3188.918051919	3189.026147010	515.997	955.550	750.000	0.1081	0.0800	843.750	1.0000	281.250	bk
6	Spectrogram 1	1	3189.711875247	3189.813214395	133.777	496.886	281.250	0.1013	0.0693	375.000	0.9444	187.500	bm
7	Spectrogram 1	1	3189.782812651	3189.901041657	496.886	936.439	750.000	0.1182	0.0853	843.750	0.9524	281.250	bk
8	Spectrogram 1	1	3190.093586039	3190.485430746	133.777	535.108	375.000	0.3918	0.2613	468.750	0.7945	187.500	bm
9	Spectrogram 1	1	3190.282752449	3190.394225512	535.108	993.772	750.000	0.1115	0.0960	937.500	1.0000	375.000	bk
10	Spectrogram 1	1	3190.303020279	3191.073197806	458.664	1051.105	843.750	0.7702	0.6400	937.500	0.9444	375.000	us
11	Spectrogram 1	1	3190.573258007	3190.684731070	439.553	879.106	750.000	0.1115	0.0960	843.750	1.0000	281.250	bk
12	Spectrogram 1	1	3190.850251679	3190.985370544	171.999	477.775	281.250	0.1351	0.0853	468.750	0.7500	281.250	bm
13	Spectrogram 1	1	3191.056307948	3191.157647096	515.997	1012.883	843.750	0.1013	0.0853	937.500	1.0000	281.250	bk
14	Spectrogram 1	1	3191.184670869	3191.319789733	458.664	974.661	750.000	0.1351	0.1173	843.750	0.9583	281.250	bk
15	Spectrogram 1	1	3191.356947421	3191.485310342	477.775	1012.883	750.000	0.1284	0.1067	843.750	0.9565	281.250	bk
16	Spectrogram 1	1	3191.360325392	3191.498822228	76.444	439.553	93.750	0.1385	0.1227	375.000	0.9600	281.250	bm
17	Spectrogram 1	1	3191.525846001	3191.650830951	420.442	1012.883	750.000	0.1250	0.1120	843.750	0.9545	281.250	bk
18	Spectrogram 1	1	3191.745414156	3191.856887219	382.220	1031.994	750.000	0.1115	0.0960	843.750	0.9500	281.250	bk
19	Spectrogram 1	1	3191.951470424	3192.062943487	324.887	1070.216	750.000	0.1115	0.0800	843.750	0.9000	375.000	bk
20	Spectrogram 1	1	3192.461544137	3192.586529087	191.110	573.330	375.000	0.1250	0.0587	468.750	0.7727	187.500	bm
21	Spectrogram 1	1	3192.566261257	3192.674356348	496.886	993.772	656.250	0.1081	0.0800	843.750	0.9474	281.250	bk
22	Spectrogram 1	1	3193.052689169	3193.184430061	171.999	573.330	375.000	0.1317	0.0587	468.750	0.7500	187.500	bm
23	Spectrogram 1	1	3193.181052090	3193.285769210	573.330	974.661	750.000	0.1047	0.0960	843.750	0.9474	187.500	bk
24	Spectrogram 1	1	3193.373596472	3193.583030711	114.666	554.219	375.000	0.2094	0.1493	468.750	0.8947	187.500	bm
