Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	1611.960032593	1612.651108328	125.000	550.000	375.000	0.6911	0.4960	375.000	0.8527	93.750	bm
2	Spectrogram 1	1	1612.866858802	1613.005073949	159.099	494.975	281.250	0.1382	0.0960	375.000	0.8400	187.500	bm
3	Spectrogram 1	1	1612.967991836	1613.092722579	424.264	919.239	656.250	0.1247	0.0800	843.750	0.9091	281.250	bk
4	Spectrogram 1	1	1614.016404293	1614.289463487	123.744	494.975	281.250	0.2731	0.1387	375.000	0.7200	187.500	bm
5	Spectrogram 1	1	1615.246856213	1615.455864484	106.066	477.297	281.250	0.2090	0.1547	375.000	0.9211	187.500	bm
6	Spectrogram 1	1	1615.772747992	1616.008725073	141.421	583.363	375.000	0.2360	0.1333	375.000	0.7209	93.750	bm
7	Spectrogram 1	1	1615.975014061	1616.780707236	565.685	1131.371	843.750	0.8057	0.6453	937.500	0.8867	187.500	us
8	Spectrogram 1	1	1616.753738426	1616.881840270	388.909	1025.305	843.750	0.1281	0.0960	937.500	0.9565	375.000	bk
9	Spectrogram 1	1	1616.932406787	1617.053766429	424.264	1042.983	750.000	0.1214	0.1013	843.750	0.9545	281.250	bk
10	Spectrogram 1	1	1617.134672856	1617.245919194	371.231	989.949	750.000	0.1112	0.0747	843.750	0.9000	281.250	bk
11	Spectrogram 1	1	1617.340310026	1617.461669668	371.231	1078.338	750.000	0.1214	0.0800	843.750	0.8636	281.250	bk
12	Spectrogram 1	1	1617.556060500	1617.677420141	406.586	1113.693	750.000	0.1214	0.0907	843.750	0.9545	281.250	bk
13	Spectrogram 1	1	1618.189827516	1618.344898169	194.454	565.685	375.000	0.1551	0.0800	468.750	0.7857	187.500	bm
14	Spectrogram 1	1	1618.324671562	1618.432546799	459.619	972.272	656.250	0.1079	0.0693	843.750	0.9000	375.000	bk
15	Spectrogram 1	1	1618.826965633	1618.971922982	194.454	530.330	375.000	0.1450	0.0747	468.750	0.7692	187.500	bm
16	Spectrogram 1	1	1618.944954173	1619.042716107	494.975	919.239	656.250	0.0978	0.0587	750.000	0.8824	187.500	bk
17	Spectrogram 1	1	1619.548381279	1619.683225325	176.777	548.008	375.000	0.1348	0.0747	468.750	0.7917	187.500	bm
18	Spectrogram 1	1	1619.642772111	1619.750647348	477.297	936.916	750.000	0.1079	0.0640	843.750	0.8947	281.250	bk
19	Spectrogram 1	1	1620.404640971	1620.539485017	176.777	583.363	375.000	0.1348	0.0640	468.750	0.6800	187.500	bm
20	Spectrogram 1	1	1620.509145106	1620.606907040	494.975	954.594	750.000	0.0978	0.0693	843.750	0.9412	281.250	bk
21	Spectrogram 1	1	1620.654102456	1620.748493288	441.942	919.239	656.250	0.0944	0.0800	843.750	1.0000	375.000	bk
22	Spectrogram 1	1	1621.284498371	1621.405858012	176.777	548.008	375.000	0.1214	0.0693	468.750	0.8636	187.500	bm
23	Spectrogram 1	1	1621.395744709	1621.469908934	477.297	954.594	750.000	0.0742	0.0587	843.750	1.0000	281.250	bk
24	Spectrogram 1	1	1621.506991047	1621.591268575	371.231	989.949	656.250	0.0843	0.0747	843.750	1.0000	468.750	bk
25	Spectrogram 1	1	1622.528434695	1622.659907639	159.099	530.330	375.000	0.1315	0.0747	468.750	0.9130	187.500	bm
26	Spectrogram 1	1	1622.592485617	1622.693618651	371.231	866.206	375.000	0.1011	0.0907	750.000	1.0000	375.000	bk
27	Spectrogram 1	1	1622.663278741	1622.764411775	441.942	919.239	656.250	0.1011	0.0907	843.750	1.0000	375.000	bk
28	Spectrogram 1	1	1624.264551786	1624.439849046	141.421	477.297	281.250	0.1753	0.1067	375.000	0.8125	187.500	bm
