Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2559.306659397	2559.746757295	175.000	500.000	375.000	0.4401	0.3733	375.000	0.9383	93.750	bm
2	Spectrogram 1	1	2559.859908255	2559.950798039	475.000	950.000	750.000	0.0909	0.0587	843.750	0.9375	187.500	bk
3	Spectrogram 1	1	2560.649214268	2560.787940779	75.000	475.000	93.750	0.1387	0.1227	375.000	0.9600	281.250	bm
4	Spectrogram 1	1	2560.730536706	2560.842953017	450.000	875.000	750.000	0.1124	0.0747	750.000	0.8571	187.500	bk
5	Spectrogram 1	1	2561.464830481	2561.589205974	150.000	450.000	281.250	0.1244	0.1067	375.000	1.0000	187.500	bm
6	Spectrogram 1	1	2561.562895774	2561.658569230	450.000	875.000	656.250	0.0957	0.0587	750.000	0.8750	187.500	bk
7	Spectrogram 1	1	2562.409605860	2562.629654809	125.000	575.000	375.000	0.2200	0.1387	468.750	0.9024	187.500	bm
8	Spectrogram 1	1	2562.467009934	2562.567467063	450.000	900.000	656.250	0.1005	0.0640	750.000	0.8889	281.250	bk
9	Spectrogram 1	1	2562.644005828	2563.277842474	550.000	1150.000	843.750	0.6338	0.5013	937.500	0.9237	281.250	us
10	Spectrogram 1	1	2563.031483325	2563.127156781	475.000	950.000	843.750	0.0957	0.0907	937.500	1.0000	281.250	bk
11	Spectrogram 1	1	2563.282626147	2563.371124094	475.000	1050.000	843.750	0.0885	0.0747	937.500	0.9375	281.250	bk
12	Spectrogram 1	1	2563.409393477	2563.495499587	500.000	1075.000	750.000	0.0861	0.0587	937.500	0.8667	281.250	bk
13	Spectrogram 1	1	2563.517026115	2563.583997534	475.000	1000.000	750.000	0.0670	0.0533	843.750	0.9167	187.500	bk
15	Spectrogram 1	1	2563.533768969	2563.655752626	125.000	500.000	281.250	0.1220	0.0907	375.000	0.8636	187.500	bm
14	Spectrogram 1	1	2563.586389370	2563.670103644	500.000	975.000	750.000	0.0837	0.0533	843.750	0.8000	187.500	bk
16	Spectrogram 1	1	2563.672495481	2563.751426082	450.000	950.000	750.000	0.0789	0.0747	843.750	1.0000	281.250	bk
17	Spectrogram 1	1	2563.763385264	2563.835140356	450.000	1025.000	750.000	0.0718	0.0480	843.750	0.8462	187.500	bk
18	Spectrogram 1	1	2563.942772994	2564.031270941	450.000	1000.000	750.000	0.0885	0.0693	843.750	1.0000	281.250	bk
20	Spectrogram 1	1	2564.138903579	2564.287197436	125.000	450.000	281.250	0.1483	0.1173	375.000	0.9231	187.500	bm
19	Spectrogram 1	1	2564.150862761	2564.236968872	400.000	1050.000	750.000	0.0861	0.0747	843.750	1.0000	187.500	bk
21	Spectrogram 1	1	2564.352065376	2564.440012131	450.000	975.000	750.000	0.0879	0.0533	843.750	0.8000	187.500	bk
22	Spectrogram 1	1	2564.588845100	2564.690322124	450.000	950.000	750.000	0.1015	0.0800	843.750	1.0000	187.500	bk
23	Spectrogram 1	1	2564.768121176	2564.883128471	125.000	475.000	281.250	0.1150	0.0907	468.750	0.8500	281.250	bm
24	Spectrogram 1	1	2564.866215633	2564.950779820	450.000	950.000	750.000	0.0846	0.0640	843.750	0.9333	187.500	bk
25	Spectrogram 1	1	2565.099612789	2565.282271433	175.000	600.000	375.000	0.1827	0.1120	468.750	0.8182	187.500	bm
