Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	950.932127475	951.527511930	93.550	498.935	344.531	0.5954	0.3715	344.531	0.7745	86.133	bm
2	Spectrogram 1	1	953.993126161	954.326919324	110.250	529.200	344.531	0.3338	0.2148	430.664	0.7679	172.266	bm
3	Spectrogram 1	1	954.257754975	954.988491357	639.450	1080.450	861.328	0.7307	0.5747	947.461	0.8800	172.266	us
4	Spectrogram 1	1	954.982477066	955.054648561	573.300	1014.300	775.195	0.0722	0.0348	861.328	0.7500	172.266	bk
5	Spectrogram 1	1	955.099755745	955.186962967	529.200	1014.300	775.195	0.0872	0.0464	861.328	0.7857	172.266	bk
6	Spectrogram 1	1	955.238600414	955.321446066	516.797	968.994	775.195	0.0828	0.0406	861.328	0.7143	172.266	bk
7	Spectrogram 1	1	955.389497852	955.496013690	452.197	990.527	775.195	0.1065	0.0522	861.328	0.7222	172.266	bk
8	Spectrogram 1	1	955.572941796	955.682416408	452.197	990.527	775.195	0.1095	0.0697	861.328	0.8333	258.398	bk
9	Spectrogram 1	1	955.768220833	955.871777898	452.197	990.527	775.195	0.1036	0.0580	861.328	0.8125	258.398	bk
10	Spectrogram 1	1	955.981252510	956.078892029	430.664	1033.594	775.195	0.0976	0.0580	861.328	0.7500	258.398	bk
11	Spectrogram 1	1	956.197242961	956.291923706	430.664	1033.594	775.195	0.0947	0.0522	861.328	0.7500	258.398	bk
12	Spectrogram 1	1	956.439862370	956.525666796	430.664	968.994	775.195	0.0858	0.0406	861.328	0.6429	258.398	bk
13	Spectrogram 1	1	956.670495749	956.766735507	430.664	1012.061	775.195	0.0962	0.0464	861.328	0.6875	258.398	bk
14	Spectrogram 1	1	958.386074049	959.172729464	129.199	473.730	258.398	0.7867	0.6153	344.531	0.8667	172.266	bm
15	Spectrogram 1	1	960.909229451	962.595517390	150.732	473.730	258.398	1.6863	1.4629	344.531	0.9276	172.266	bm
