Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	2444.666462746	2445.168106496	106.957	481.308	281.250	0.5016	0.3147	375.000	0.8085	187.500	bm
2	Spectrogram 1	1	2445.283348979	2445.591792095	338.698	909.137	750.000	0.3084	0.2133	750.000	0.8772	93.750	us
3	Spectrogram 1	1	2445.571455186	2445.679918700	463.482	909.137	656.250	0.1085	0.0587	750.000	0.7895	187.500	bk
4	Spectrogram 1	1	2445.700255608	2445.812108607	356.524	909.137	656.250	0.1119	0.0853	750.000	0.8500	281.250	bk
5	Spectrogram 1	1	2445.798550667	2445.923961605	89.131	552.613	281.250	0.1254	0.1013	468.750	0.9545	375.000	bm
6	Spectrogram 1	1	2445.883287787	2446.025646149	320.872	891.311	656.250	0.1424	0.0960	750.000	0.8800	281.250	bk
7	Spectrogram 1	1	2446.103604299	2446.215457297	285.220	909.137	656.250	0.1119	0.0800	750.000	0.9500	281.250	bk
8	Spectrogram 1	1	2446.320531326	2446.456110718	267.393	891.311	562.500	0.1356	0.0907	750.000	0.8750	281.250	bk
9	Spectrogram 1	1	2446.581521655	2446.696764138	267.393	962.616	656.250	0.1152	0.0853	750.000	0.9500	281.250	bk
10	Spectrogram 1	1	2448.758519741	2449.391255849	89.131	463.482	281.250	0.6327	0.4693	375.000	0.8718	281.250	bm
