Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Dur 90% (s)	Freq 95% (Hz)	Time 95% Rel.	BW 90% (Hz)	Sequence
1	Spectrogram 1	1	267.448642337	267.969492235	65.625	481.250	258.398	0.5208	0.2728	344.531	0.7273	258.398	bm
3	Spectrogram 1	1	268.078631137	268.429269580	328.125	918.750	689.062	0.3506	0.2496	775.195	0.9000	172.266	us
4	Spectrogram 1	1	268.502424364	268.580624304	393.750	875.000	602.930	0.0782	0.0697	775.195	0.9231	258.398	bk
10	Spectrogram 1	1	268.602942843	268.733155317	109.375	415.625	344.531	0.1302	0.0987	344.531	0.9048	86.133	bm
5	Spectrogram 1	1	268.668914560	268.772340288	350.000	918.750	602.930	0.1034	0.0755	689.062	0.9412	172.266	bk
11	Spectrogram 1	1	268.781316096	268.900826175	131.250	415.625	344.531	0.1195	0.0813	344.531	0.8500	86.133	bm
6	Spectrogram 1	1	268.868198279	268.986759480	284.375	875.000	602.930	0.1186	0.0871	775.195	0.9500	344.531	bk
7	Spectrogram 1	1	269.097752944	269.191088357	262.500	809.375	602.930	0.0933	0.0522	689.062	0.8667	258.398	bk
8	Spectrogram 1	1	269.317217293	269.423165600	240.625	940.625	602.930	0.1059	0.0639	775.195	0.8824	344.531	bk
9	Spectrogram 1	1	271.683396142	272.369537557	109.375	459.375	258.398	0.6861	0.2961	344.531	0.7521	172.266	bm
